WAV	knightattack	..\sounds\bsword.wav
WAV	knightyell	..\sounds\pain75_1.wav
WAV	knightdie	..\sounds\die.wav
WAV	knightweapon	..\sounds\bsword.wav
WAV	potion		..\sounds\item.wav
WAV	deathorb	..\sounds\deathorb.wav
WAV	mouther		..\sounds\mouther.wav
WAV	skeleton	..\sounds\skeleton.wav
WAV	spawn		..\sounds\spawn.wav
WAV	death1		..\sounds\death1.wav
WAV	death2		..\sounds\death2.wav
WAV	death3		..\sounds\death3.wav
WAV	death4		..\sounds\death4.wav
WAV	walk		..\sounds\walk.wav
WAV	dooropen	..\sounds\dooropen.wav
WAV	impact		..\sounds\impact.wav
WAV	pimpact		..\sounds\pimpact.wav
WAV	switch		..\sounds\switch.wav
WAV	ogre		..\sounds\ogre.wav
WAV	corpse		..\sounds\corpse.wav
WAV	topen		..\sounds\topen.wav
WAV	swish1		..\sounds\swish1.wav
WAV	swish4		..\sounds\swish4.wav
WAV	swish5		..\sounds\swish5.wav
WAV	swish7		..\sounds\swish7.wav
WAV	swish9		..\sounds\swish9.wav
WAV	impact2		..\sounds\impact2.wav
WAV	impact3		..\sounds\impact3.wav
WAV	impact4		..\sounds\impact4.wav
WAV	impact5		..\sounds\impact5.wav
WAV	impact6		..\sounds\impact6.wav
WAV	impact7		..\sounds\impact7.wav
WAV	impact8		..\sounds\impact8.wav
WAV	impact9		..\sounds\impact9.wav
WAV	impact10	..\sounds\impact10.wav
WAV	goblindeath	..\sounds\goblindeath.wav
WAV	jump1		..\sounds\jump1.wav
WAV	baull		..\sounds\baull.wav
WAV	ghoul		..\sounds\ghoul.wav
WAV	creak1		..\sounds\creak1.wav
WAV	coin		..\sounds\coin.wav
WAV	effect1		..\sounds\effect1.wav
WAV	effect2		..\sounds\effect2.wav
WAV	effect3		..\sounds\effect3.wav
WAV	effect4		..\sounds\effect4.wav
WAV	goblin		..\sounds\goblin.wav
WAV	jump_land	..\sounds\jump_land.wav
WAV	diceroll	..\sounds\dice.wav
WAV	natural20	..\sounds\natural20.WAV
WAV	save20		..\sounds\save20.wav
WAV	savethrow	..\sounds\savethrow.wav
WAV	pain1		..\sounds\pain1.WAV
LOP	fire		..\sounds\fire.lop
LOP	water		..\sounds\water.lop
LOP	lava		..\sounds\lava.lop
MID	0		..\midi\0.wav
MID	midi1		..\midi\midifile0.wav
MID	midi2		..\midi\midifile2.wav
MID	midi3		..\midi\jazz.wav
MID	hill		..\midi\hill.wav
MID	maze		..\midi\maze.wav
LOP	stone		..\sounds\stoneloop.lop
WAV	teleport	..\sounds\teleport.wav
WAV	thankyou	..\sounds\thankyou.wav
WAV	goal1		..\sounds\goal1.wav
WAV	goal2		..\sounds\goal2.wav
WAV	goal3		..\sounds\goal3.wav
WAV	goal4		..\sounds\goal4.wav
WAV	wolfdie		..\sounds\wolfdie.wav
WAV	wolfpain	..\sounds\wolfpain.wav
WAV	wolfhowl	..\sounds\wolfhowl.wav
WAV	wraithdie	..\sounds\wraithdie.wav
WAV	wraithpain	..\sounds\wraithpain.wav
WAV	wraithspeak	..\sounds\wraithspeak.wav
WAV	baullpain	..\sounds\baullpain.wav
WAV	baullspeak	..\sounds\baullspeak.wav
WAV	sorcererdie	..\sounds\sorcererdie.wav
WAV	sorcererpain	..\sounds\sorcererpain.wav
WAV	sorcererspeak	..\sounds\sorcererspeak.wav
WAV	faeriedie	..\sounds\faeriedie.wav
WAV	faeriepain	..\sounds\faeriepain.wav
WAV	faeriespeak	..\sounds\faeriespeak.wav
WAV	mummydie	..\sounds\mummydie.wav
WAV	mummypain	..\sounds\mummypain.wav
WAV	mummyspeak	..\sounds\mummyspeak.wav
WAV	hydradie	..\sounds\hydradie.wav
WAV	hydrapain	..\sounds\hydrapain.wav
WAV	hydraspeak	..\sounds\hydraspeak.wav
WAV	necrodie	..\sounds\necrodie.wav
WAV	necropain	..\sounds\necropain.wav
WAV	necrospeak	..\sounds\necrospeak.wav
WAV	impdie		..\sounds\impdie.wav
WAV	imppain		..\sounds\imppain.wav
WAV	impspeak	..\sounds\impspeak.wav
WAV	demondie	..\sounds\demondie.wav
WAV	demonpain	..\sounds\demonpain.wav
WAV	demonspeak	..\sounds\demonspeak.wav
WAV	fulimodie	..\sounds\fulimodie.wav
WAV	fulimopain	..\sounds\fulimopain.wav
WAV	fulimospeak	..\sounds\fulimospeak.wav
WAV	chant	..\sounds\chant.wav
WAV	win	..\sounds\win.wav
WAV	explod1	..\sounds\explod1.wav
WAV	explod2	..\sounds\explod2.wav
WAV	spell1	..\sounds\spell1.wav
WAV	spell2	..\sounds\spell2.wav
WAV	spell3	..\sounds\spell3.wav
WAV	click	..\sounds\click.wav
WAV	buttonselect	..\sounds\buttonselect.wav
MID	royal		..\midi\royal.wav
WAV	dmspeak	..\sounds\dmspeak.wav
MID	epic1		..\midi\epic1.wav
MID	trouble1		..\midi\trouble1.wav
MID	found1		..\midi\found1.wav
MID	urgent1		..\midi\urgent1.wav
WAV	orc	..\sounds\orc.wav
WAV	snakehiss	..\sounds\snakehiss.wav
WAV	snakedie	..\sounds\snakedie.wav
WAV	sorb	..\sounds\sorb.wav
WAV	sorbdie	..\sounds\sorbdie.wav
MID	badbad		..\midi\badbad.wav
MID	momo		..\midi\momo.wav
MID	forest		..\midi\forest.wav
MID	human		..\midi\human.wav
MID	home		..\midi\home.wav
MID	time2		..\midi\time2.wav
MID	corvalis	..\midi\corvalis.wav
MID	pizza	..\midi\pizza.wav
MID	walkmid	..\midi\walkmid.wav
MID	day	..\midi\day.wav
END_FILE
