
FILENAME modellist.dat
PLAYER		0 MD2  MODEL_ID 0  ..\models\players\knight\knight.md2		TEX knight  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monster1.snd	AC 7	HD 10	d 1d10 THACO 18 KNIGHT	20	BATTLEAXE
PLAYER		1 3DS  MODEL_ID 1  ..\models\3ds\pillar.3ds			TEX 0  POS 635 13 720  ANGLE 0	SCALE 1.00   NO_EXTERNAL_WEP	monster1.snd	AC 10	HD 5	d 1d8 THACO 19	pillar	10	NONE
YOURGUN		0 MD2 	MODEL_ID 2 ..\models\players\knight\axe.md2		TEX axe  POS 0 0 0	   ANGLE 0		SCALE 2.00	D 1d4	A 0	D 0	AXE	0
PLAYER		2 MD2  MODEL_ID 3  ..\models\players\goblin\goblin.md2	TEX goblin  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monstergoblin.snd	AC 9	HD 1	d 1d4 THACO 19	GOBLIN	18	GOBLINAXE
PLAYER		3 MD2  MODEL_ID 4  ..\models\players\bauul\bauul.md2		TEX bauul  POS 635 13 720  ANGLE 0	SCALE 3.00   NO_EXTERNAL_WEP	monsterbaull.snd	AC 4	HD 8	d 1d8 THACO 12	BAUUL	25	WEAPONBAUUL
PLAYER		4 MD2  MODEL_ID 5  ..\models\players\corpse\corpse.md2	TEX corpse  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monstercorpse.snd	AC 9	HD 3	d 1d6 THACO 16	CORPSE	15	NONE
PLAYER		5 3DS  MODEL_ID 6  ..\models\3ds\potion.3ds			TEX -1  POS 635 13 720  ANGLE 0	SCALE 1.00   NO_EXTERNAL_WEP	monster1.snd	AC 10	HD 5	d 1d8 THACO 18	POTION	10	NONE
YOURGUN		1 MD2 	MODEL_ID 7 ..\models\players\knight\flamesword.md2	TEX flamesword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d4	A 1	D 1	FLAMESWORD	0
YOURGUN		2 MD2 	MODEL_ID 8 ..\models\players\knight\bastard_sword.md2	TEX bastard_sword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d6	A 0	D 0	BASTARDSWORD	0
YOURGUN		3 MD2 	MODEL_ID 9 ..\models\players\knight\battleaxe.md2	TEX battleaxe  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d8	A 1	D 1	BATTLEAXE	0
YOURGUN		4 MD2 	MODEL_ID 10 ..\models\players\knight\icesword.md2	TEX icesword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d8	A 2	D 2	ICESWORD	0
YOURGUN		5 MD2 	MODEL_ID 11 ..\models\players\knight\lightning_sword.md2	TEX lightning_sword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d8	A 3	D 3	LIGHTNINGSWORD	0
YOURGUN		6 MD2 	MODEL_ID 12 ..\models\players\knight\morning_star.md2	TEX morning_star  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d10	A 2	D 4	MORNINGSTAR	0
YOURGUN		7 MD2 	MODEL_ID 13 ..\models\players\knight\spiked_flail.md2	TEX spiked_flail  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d12	A 2	D 6	SPIKEDFLAIL	0
YOURGUN		8 MD2 	MODEL_ID 14 ..\models\players\knight\split_sword.md2	TEX split_sword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d10	A 4	D 4	SPLITSWORD	0
YOURGUN		9 MD2 	MODEL_ID 15 ..\models\players\knight\super_flamesword.md2	TEX super_flamesword  POS 0 0 0	   ANGLE 0	SCALE 2.00	D 1d12	A 5	D 5	SUPERFLAMESWORD	0
PLAYER		6 MD2  MODEL_ID 16  ..\models\players\magicuser\sorcerer.md2	TEX sorcerer  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monstersorcerer.snd	AC 5	HD 13	d 1d8 THACO 7	SORCERER	20	weaponsorcerer
PLAYER		7 MD2  MODEL_ID 17  ..\models\players\tentacle\tentacle.md2	TEX tentacle  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monstertentacle.snd	AC 8	HD 1	d 1d4 THACO 19	TENTACLE	17	NONE
PLAYER		8 3DS  MODEL_ID 18  ..\models\3ds\chest.3ds			TEX -1  POS 635 13 720  ANGLE 0	SCALE 1.00   NO_EXTERNAL_WEP	monster1.snd	AC 10	HD 5	d 1d8 THACO 18	CHEST	10	NONE
PLAYER		9 MD2  MODEL_ID 19  ..\models\players\wraith\wraith.md2		TEX wraith  POS 635 13 720  ANGLE 0	SCALE 2.00   NO_EXTERNAL_WEP	monsterwraith.snd	AC 4	HD 6	d 1d8 THACO 14	WRAITH	28	weaponwraith
